ROWID,fir_rowid,ipc_rowid
1,1,10
2,2,16
3,3,4
4,3,21
5,4,26
6,5,18
7,5,11
8,6,2
9,6,5
10,6,21
11,7,16
12,7,14
13,8,16
14,8,14
15,8,27
16,9,10
17,10,1
18,11,16
19,11,27
20,12,29
21,13,22
22,13,21
23,14,28
24,15,4
25,15,5
26,15,21
27,16,7
28,16,21
29,17,23
30,17,22
31,18,4
32,18,20
33,19,6
34,19,20
35,19,21
36,20,10
37,21,16
38,21,14
39,22,10
40,23,19
41,23,20
42,23,21
43,24,16
44,24,27
45,24,26
46,25,12
47,25,13
48,26,16
49,27,16
50,27,15
51,27,27
52,28,7
53,29,16
54,29,14
55,30,18
56,30,11
57,31,10
58,31,21
59,32,29
60,33,2
61,34,24
62,35,16
63,35,15
64,35,27
65,36,24
66,37,16
67,38,4
68,38,5
69,38,20
70,39,18
71,39,11
72,39,17
73,40,22
74,41,4
75,42,18
76,42,11
77,43,7
78,43,21
79,44,10
80,45,10
81,45,21
82,46,28
83,47,16
84,47,14
85,48,7
86,49,26
87,49,20
88,50,4
89,50,5
90,50,20
91,51,19
92,52,24
93,53,24
94,54,16
95,54,14
96,55,6
97,55,21
98,56,6
99,56,20
100,56,21
101,57,10
102,58,10
103,59,4
104,59,5
105,59,21
106,60,29
107,61,7
108,62,10
109,63,24
110,64,6
111,64,20
112,65,4
113,65,5
114,66,6
115,66,20
116,67,4
117,67,5
118,67,20
119,68,10
120,69,24
121,70,1
122,71,7
123,71,21
124,72,10
125,72,12
126,72,21
127,73,2
128,74,18
129,74,11
130,75,19
131,76,29
132,77,12
133,77,21
134,78,18
135,78,11
136,78,17
137,79,19
138,79,20
139,80,19
140,81,4
141,81,5
142,81,20
143,82,10
144,83,24
145,84,10
146,84,12
147,85,16
148,86,12
149,86,21
150,87,10
151,88,1
152,89,10
153,90,16
154,90,27
155,90,26
156,91,10
157,92,10
158,93,8
159,93,21
160,94,10
161,94,12
162,95,29
163,96,16
164,96,14
165,97,10
166,98,10
167,98,21
168,99,18
169,99,11
170,100,16
171,101,19
172,101,21
173,102,18
174,102,11
175,103,29
176,104,16
177,105,29
178,106,6
179,106,20
180,107,8
181,107,21
182,108,26
183,108,21
184,109,18
185,109,11
186,109,17
187,110,10
188,111,2
189,111,21
190,112,16
191,112,14
192,113,10
193,114,22
194,114,21
195,115,4
196,115,21
197,116,16
198,117,16
199,118,4
200,118,20
201,119,4
202,120,10
203,121,10
204,122,2
205,123,19
206,123,20
207,123,21
208,124,10
209,125,16
210,125,14
211,126,19
212,126,20
213,127,2
214,127,21
215,128,10
216,128,12
217,129,10
218,130,8
219,131,10
220,132,16
221,133,16
222,134,10
223,135,26
224,136,10
225,136,21
226,137,6
227,137,21
228,138,19
229,139,10
230,139,21
231,140,10
232,140,12
233,140,21
234,141,4
235,141,20
236,142,16
237,142,14
238,142,15
239,143,6
240,143,20
241,144,10
242,145,24
243,145,25
244,146,4
245,147,23
246,148,28
247,149,10
248,149,12
249,150,4
250,151,16
251,151,14
252,152,4
253,152,21
254,153,2
255,153,21
256,154,16
257,154,15
258,155,7
259,155,21
260,156,10
261,157,4
262,157,21
263,158,29
264,159,8
265,160,10
266,161,28
267,162,4
268,163,7
269,164,26
270,164,16
271,165,16
272,165,27
273,165,26
274,166,19
275,166,20
276,167,10
277,168,26
278,168,20
279,169,16
280,169,14
281,170,7
282,171,1
283,171,21
284,172,16
285,172,14
286,173,7
287,174,16
288,174,27
289,175,16
290,175,14
291,176,23
292,176,4
293,177,24
294,178,16
295,178,27
296,179,16
297,179,27
298,180,28
299,181,18
300,181,11
301,181,17
302,182,28
303,183,7
304,183,21
305,184,29
306,185,4
307,186,19
308,187,16
309,187,27
310,188,16
311,188,27
312,188,26
313,189,10
314,190,10
315,191,10
316,192,8
317,193,23
318,193,22
319,193,4
320,194,22
321,195,16
322,196,10
323,197,10
324,197,12
325,198,10
326,199,23
327,199,22
328,200,28
329,201,10
330,202,1
331,203,8
332,203,21
333,204,10
334,205,16
335,205,27
336,206,24
337,207,29
338,208,16
339,208,27
340,209,10
341,210,10
342,211,10
343,211,12
344,211,21
345,212,24
346,213,10
347,214,8
348,215,10
349,216,26
350,217,4
351,217,5
352,218,29
353,219,16
354,219,14
355,220,1
356,220,21
357,221,1
358,221,21
359,222,16
360,222,14
361,223,10
362,224,23
363,225,10
364,226,10
365,227,10
366,228,24
367,229,8
368,230,10
369,230,12
370,230,21
371,231,29
372,232,24
373,232,25
374,233,16
375,233,14
376,233,15
377,234,18
378,234,11
379,235,18
380,235,11
381,235,17
382,236,18
383,236,11
384,236,17
385,237,10
386,238,24
387,239,26
388,239,16
389,240,28
390,241,10
391,242,10
392,243,6
393,243,20
394,243,21
395,244,4
396,244,20
397,245,18
398,245,11
399,246,10
400,247,10
401,248,18
402,248,11
403,248,17
404,249,29
405,250,10
406,251,10
407,252,10
408,253,10
409,254,24
410,255,18
411,255,11
412,256,16
413,256,27
414,257,7
415,257,21
416,258,4
417,258,5
418,258,20
419,259,10
420,260,28
421,261,4
422,261,5
423,261,20
424,262,4
425,262,21
426,263,16
427,263,27
428,264,10
429,265,19
