ROWID,section_number,description,act_name,act_short_name,is_active
1,302,Murder,Indian Penal Code,IPC,1
2,307,Attempt to murder,Indian Penal Code,IPC,1
3,304B,Dowry death,Indian Penal Code,IPC,1
4,323,Voluntarily causing hurt,Indian Penal Code,IPC,1
5,324,Voluntarily causing hurt by dangerous weapons,Indian Penal Code,IPC,1
6,354,Assault on woman with intent to outrage modesty,Indian Penal Code,IPC,1
7,354D,Stalking,Indian Penal Code,IPC,1
8,363,Kidnapping,Indian Penal Code,IPC,1
9,376,Rape,Indian Penal Code,IPC,1
10,379,Theft,Indian Penal Code,IPC,1
11,380,Theft in dwelling house,Indian Penal Code,IPC,1
12,392,Robbery,Indian Penal Code,IPC,1
13,397,Robbery with attempt to cause death or grievous hurt,Indian Penal Code,IPC,1
14,406,Criminal breach of trust,Indian Penal Code,IPC,1
15,409,Criminal breach of trust by public servant or banker,Indian Penal Code,IPC,1
16,420,Cheating and dishonestly inducing delivery of property,Indian Penal Code,IPC,1
17,454,Lurking house-trespass in order to commit offence,Indian Penal Code,IPC,1
18,457,Lurking house-trespass by night,Indian Penal Code,IPC,1
19,498A,Cruelty by husband or relatives of husband,Indian Penal Code,IPC,1
20,504,Intentional insult with intent to provoke breach of peace,Indian Penal Code,IPC,1
21,506,Criminal intimidation,Indian Penal Code,IPC,1
22,143,Unlawful assembly,Indian Penal Code,IPC,1
23,147,Rioting,Indian Penal Code,IPC,1
24,279,Rash driving on a public way,Indian Penal Code,IPC,1
25,304A,Causing death by negligence,Indian Penal Code,IPC,1
26,66C,Identity theft,Information Technology Act,IT Act,1
27,66D,Cheating by personation using computer resource,Information Technology Act,IT Act,1
28,20,Contravention in relation to cannabis,Narcotic Drugs and Psychotropic Substances Act,NDPS Act,1
29,22,Contravention in relation to psychotropic substances,Narcotic Drugs and Psychotropic Substances Act,NDPS Act,1
